Date,Price,Open,High,Low,Amount,Return
2016/12/5,754.3,766.4,769.2,746,51.17,-0.01570000 
2016/12/6,758.2,754.3,762.5,750.9,33.43,0.00510000 
2016/12/7,765.6,758.2,769,754.3,34.87,0.00970000 
2016/12/8,768.5,765.6,773.4,761.2,28.78,0.00380000 
2016/12/9,770.5,768.5,773.5,765,24.18,0.00260000 
2016/12/10,774,770.5,777,769.2,18.02,0.00460000 
2016/12/11,767.9,774,774.2,763,17.14,-0.00790000 
2016/12/12,778.5,767.9,781.3,767.9,28.76,0.01380000 
2016/12/13,778.7,778.5,790.3,767.8,33.11,0.00030000 
2016/12/14,776.5,778.7,780.8,771,24.78,-0.00290000 
2016/12/15,775.2,776.5,780.3,773.1,26.22,-0.00170000 
2016/12/16,782,775.2,783.9,773.3,27.61,0.00880000 
2016/12/17,787.2,782,791.6,779.4,23.58,0.00650000 
2016/12/18,789,787.2,791.3,783.8,14.53,0.00230000 
2016/12/19,789.8,789,793.7,786.3,25.46,0.00100000 
2016/12/20,799.1,789.8,800,787.1,34.48,0.01180000 
2016/12/21,829.2,799.1,833.1,796,65.29,0.03770000 
2016/12/22,860.2,829.2,874.7,828.9,70.56,0.03730000 
2016/12/23,917.2,860.2,920.3,858,102.22,0.06630000 
2016/12/24,891.1,917.2,920.5,880.8,46.03,-0.02850000 
2016/12/25,891.1,891.1,895.2,851.4,42.48,0.00000000 
2016/12/26,898.4,891.1,909.3,885.9,38.79,0.00820000 
2016/12/27,925.8,898.4,937.9,893.4,49.69,0.03050000 
2016/12/28,972.2,925.8,974.5,925.5,77.29,0.05010000 
2016/12/29,971.1,972.2,982.6,949.2,61.13,-0.00110000 
2016/12/30,959,971.1,971.6,927.4,70.84,-0.01240000 
2016/12/31,963.4,959,965.5,942.4,27.56,0.00450000 
2017/1/1,995.4,963.4,"1,001.60",956.1,41.15,0.03330000 
2017/1/2,"1,017.00",995.4,"1,031.70",990.2,64.95,0.02170000 
2017/1/3,"1,033.30","1,017.00","1,035.50","1,006.50",54.79,0.01600000 
2017/1/4,"1,135.40","1,033.30","1,148.50","1,022.30",156.27,0.09880000 
2017/1/5,989.3,"1,135.40","1,150.60",874.5,240.01,-0.12860000 
2017/1/6,886.2,989.3,"1,027.40",852.5,194.29,-0.10430000 
2017/1/7,888.9,886.2,900.9,806.7,130.66,0.00310000 
2017/1/8,900.9,888.9,936.1,875.8,76.91,0.01350000 
2017/1/9,899.8,900.9,910.5,870.9,62.58,-0.00120000 
2017/1/10,904.4,899.8,911.3,890.1,53.71,0.00510000 
2017/1/11,785.4,904.4,917.7,751.6,194.44,-0.13150000 
2017/1/12,810.1,785.4,828.2,739.5,120.24,0.03140000 
2017/1/13,824.8,810.1,835,771,89.86,0.01820000 
2017/1/14,819.6,824.8,838.9,808.3,44.21,-0.00630000 
2017/1/15,821.2,819.6,826.4,808.6,24.4,0.00190000 
2017/1/16,827.3,821.2,836.7,817.7,33.22,0.00750000 
2017/1/17,899.7,827.3,906.4,825,82.21,0.08740000 
2017/1/18,872,899.7,913.7,845.9,69.26,-0.03070000 
2017/1/19,895.2,872,905.3,870.7,58.44,0.02660000 
2017/1/20,892.9,895.2,901.5,878.9,38.87,-0.00260000 
2017/1/21,919.8,892.9,928.9,889.5,40.38,0.03020000 
2017/1/22,918.8,919.8,938.4,888.6,47.93,-0.00110000 
2017/1/23,921.5,918.8,928,910.8,32.74,0.00290000 
